"Annual population change at 31 March 2025"
,"Population at 31 March 2025 ('000)","Change over previous year ('000)","Change over previous year (%)"
"New South Wales","8579.2","101.8","1.2"
"Victoria","7053.1","124.6","1.8"
"Queensland","5647.5","98.6","1.8"
"South Australia","1898.6","19.9","1.1"
"Western Australia","3030.2","67.5","2.3"
"Tasmania","576.1","1.1","0.2"
"Northern Territory","263.4","3.5","1.3"
"Australian Capital Territory","483.8","6.2","1.3"
"Australia (a)","27536.9","423.4","1.6"

"a. Includes Other Territories comprising Jervis Bay Territory, Christmas Island, the Cocos (Keeling) Islands and Norfolk Island."

"Source: Australian Bureau of Statistics, National, state and territory population March 2025"
